model,gpu_freq,inference_time,power
mnasnet.tflite,315000000,8.69448,1843.5568198742624 1734.115899425617 2981.759101393197
mnasnet.tflite,379000000,6.62123,2355.8268215217513 2194.768262616723
mnasnet.tflite,443000000,5.95173,2342.7947329818185 2522.930908278848
mnasnet.tflite,491000000,5.53324,2440.0818153778146 2090.6394157275167
mnasnet.tflite,540000000,5.36601,2536.6915256070993 2100.813665022208
mnasnet.tflite,608000000,5.15674,2699.855963946857 2046.004179675102
mnasnet.tflite,676000000,4.21346,3586.2563987747594 1510.6163282963253
mnasnet.tflite,738000000,4.02924,3885.2264150945616 1347.9753160824034
mnasnet.tflite,778000000,3.98992,4091.863413534596 1239.7647805409265
mnasnet.tflite,840000000,3.85689,4412.881255053709 1385.1317440248972
mobilenet_v3.tflite,315000000,8.24181,1683.0886653391226 1667.4006854285183 1360.568833445491
mobilenet_v3.tflite,379000000,5.76327,2205.7711027875043 1837.0501563333055
mobilenet_v3.tflite,443000000,5.28865,2289.047117868754 1839.2865507873182
mobilenet_v3.tflite,491000000,5.12491,2262.6643217993046 1858.1194137444454
mobilenet_v3.tflite,540000000,5.11454,2327.930120846998 1608.76223090529
mobilenet_v3.tflite,608000000,5.38811,2529.6839377779966 1654.8015187154872
mobilenet_v3.tflite,676000000,5.014,2880.1873706614842 2164.774058329164
mobilenet_v3.tflite,738000000,5.13268,2896.635837945804 2251.6088271067442
mobilenet_v3.tflite,778000000,5.0785,3063.0592400344203 2359.4196321607205
mobilenet_v3.tflite,840000000,5.08791,3196.5734076138497 1871.0010955411765
mobilenetv1.tflite,315000000,18.7427,1952.141860755383 2156.6254093415664 2088.54314996867 2084.781253482828 1962.2007644592218 1268.8828170367185
mobilenetv1.tflite,379000000,12.5476,2666.418663157152 2781.56462701009 3329.1605856099122 2096.008573547452
mobilenetv1.tflite,443000000,11.0633,2740.2895305387287 2696.244503697358 2713.903390583084 1185.1752245866069
mobilenetv1.tflite,491000000,10.2971,2921.3382916668756 2790.2446782098164 2604.099173453601
mobilenetv1.tflite,540000000,9.8736,3084.0455626657986 4015.9337588744047 2665.5803348590925
mobilenetv1.tflite,608000000,9.27943,3358.0015045834143 3197.97720851052 2813.062418807751
mobilenetv1.tflite,676000000,7.85231,4571.721092246948 4443.13285588742 1509.6078051387326
mobilenetv1.tflite,738000000,7.41138,4966.2417211369075 5016.352394289146 1230.0722447158669
mobilenetv1.tflite,778000000,7.13324,5531.177412818495 5410.8019882301405 1279.78730257524
mobilenetv1.tflite,840000000,6.81781,6204.308048460808 5689.14423524929
mobilenetv2.tflite,315000000,17.9772,2000.445717161527 1839.8347700738373 1881.6011913567204 1810.3412557907566 1991.3132641828543
mobilenetv2.tflite,379000000,11.419,2512.095290008318 2358.0093692483724 2542.101676985028 1379.1245000751157
mobilenetv2.tflite,443000000,10.0317,2633.789371131389 2497.9051656351335 2445.2851285816587
mobilenetv2.tflite,491000000,9.39288,2713.5572978295972 2761.69099688583 2810.041164784988
mobilenetv2.tflite,540000000,9.23215,2955.442838277588 2691.104866070392 2637.743163151251
mobilenetv2.tflite,608000000,8.51591,3091.950276360381 3116.3173808988145 1969.1514878276791
mobilenetv2.tflite,676000000,6.98939,4236.164106319929 4058.4296104900286
mobilenetv2.tflite,738000000,6.70784,4573.748056893326 4509.428579360541
mobilenetv2.tflite,778000000,6.45972,4812.080498998782 4939.811132550585
mobilenetv2.tflite,840000000,6.35367,5279.565143896705 4650.039854382405
nasnet.tflite,315000000,45.2602,2294.8152864148224 2142.63825192338 2067.7063289348625 2335.5978443402073 2183.921807978415 2193.1840015039447 2234.5167387315137 2176.6558290750486 2172.6182950553257 2182.4485769131684 2164.969618215725 2211.2396510610142 1275.378927358094
nasnet.tflite,379000000,39.2794,2499.7362716121743 2447.7837401264237 2417.8211698854348 2366.6284764660563 2371.5809605476443 2618.9271686393763 2410.754752468242 2568.2512005529898 2468.8238980586825 2371.9165221622375 2516.8336574876594
nasnet.tflite,443000000,39.0269,2521.046803427802 2428.9997183593855 2385.8909270106196 2498.503989790049 2489.9537644327734 2343.3630840921983 2935.8851201908797 2423.9480990828542 2533.1683936540935 2680.8041982296268 2495.8869275597904
nasnet.tflite,491000000,38.0669,2446.29557432901 2593.864819715197 2344.2494199292446 2732.8491500490745 3537.603853929556 2340.006658991097 2495.4575438429447 2573.0161072313895 2519.584639451698 2348.5345299883925 1768.9407994816668
nasnet.tflite,540000000,36.8852,2503.920508304973 4210.385880445703 3357.1056951766595 2603.954111291863 2738.1227657094123 2660.248202031023 2671.5137614250484 2620.544294106 2412.195550016568 2399.1188665237355 1408.8519205901887
